2017-01-02 10:05:31 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : akdfkpthm4octptpzhgoifd4 ; 
2017-01-02 10:05:35 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : akdfkpthm4octptpzhgoifd4 ; 
2017-01-02 10:05:36 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akdfkpthm4octptpzhgoifd4 ; 
2017-01-02 10:05:53 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : DOB Validation - Success ; SessionId : akdfkpthm4octptpzhgoifd4 ; 
2017-01-02 10:05:53 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User NOT Registered For OTP ; SessionId : akdfkpthm4octptpzhgoifd4 ; 
2017-01-02 10:05:54 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : akdfkpthm4octptpzhgoifd4 ; 
2017-01-02 10:07:28 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : akdfkpthm4octptpzhgoifd4 ; 
2017-01-02 10:11:18 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : akdfkpthm4octptpzhgoifd4 ; 
2017-01-02 10:11:34 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : akdfkpthm4octptpzhgoifd4 ; 
2017-01-02 10:26:21 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : eahbimcrnml3jbcbulr2vbnr ; 
2017-01-02 10:26:21 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user exist - success ; SessionId : eahbimcrnml3jbcbulr2vbnr ; 
2017-01-02 10:26:21 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : eahbimcrnml3jbcbulr2vbnr ; 
