2017-01-04 11:12:55 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 11:13:00 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 11:13:00 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 11:13:14 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : DOB Validation - Success ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 11:13:14 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User Registered For OTP ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 11:13:14 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User mobile number updated in AD ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 11:13:14 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 11:15:44 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Success ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 11:15:44 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Register User in ART - Success ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 11:15:45 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 11:54:21 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 11:54:21 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 11:54:22 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 11:54:30 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : DOB Validation - Success ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 11:54:30 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User Registered For OTP ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 11:54:30 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User mobile number updated in AD ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 11:55:55 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 11:55:55 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 11:55:56 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 11:56:03 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : DOB Validation - Success ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 11:56:03 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User Registered For OTP ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 11:56:04 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User mobile number updated in AD ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 11:56:38 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 11:57:03 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Success ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 11:57:03 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Register User in ART - Success ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 11:57:03 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 11:57:13 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 11:57:13 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 11:57:14 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 11:57:21 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : DOB Validation - Success ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 11:57:21 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User Registered For OTP ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 11:57:21 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User mobile number updated in AD ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 11:57:22 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 12:18:09 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 12:18:09 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 12:18:25 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 12:19:48 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 12:21:13 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 01:35:12 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 01:35:12 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 01:35:19 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 01:36:51 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 01:41:37 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 01:42:05 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 01:48:36 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 01:49:28 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 01:50:45 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 01:51:22 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 01:52:22 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 01:52:54 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 01:53:18 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 01:56:01 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:04:31 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:04:31 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:04:31 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:06:53 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:07:52 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:07:53 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:07:53 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:08:01 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:10:51 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:10:51 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:10:52 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:13:00 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:13:00 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:13:00 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:13:26 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : DOB Validation - Success ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:13:26 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User Registered For OTP ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:13:26 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User mobile number updated in AD ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:13:27 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:31:48 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:31:48 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:31:53 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:32:51 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:32:59 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:37:47 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:37:47 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : InValid login ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:37:48 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Account not locked ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:37:54 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:37:54 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:37:56 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:40:48 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:41:55 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:42:06 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:54:18 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:54:18 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:54:20 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:54:37 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Sending OTP - Failure ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:54:39 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:55:41 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:55:41 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:55:43 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:56:18 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:56:20 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:57:06 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Submit - Validate user otp ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:57:10 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : valid OTP, now redirecting to reset password ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:57:18 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:59:59 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 02:59:59 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 03:00:01 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 03:00:11 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 03:00:12 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 03:00:39 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Submit - Validate user otp ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 03:00:40 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : valid OTP, now redirecting to reset password ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 03:00:42 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 03:38:10 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 03:38:10 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 03:38:23 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 03:38:51 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 03:38:53 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 03:39:12 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 03:39:20 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 03:39:29 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 03:39:31 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 03:41:46 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 03:43:05 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 03:46:20 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 03:46:40 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 03:47:15 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 03:47:48 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 03:47:50 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 03:49:14 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : RESEND :: OTP sent , now redirecting to RegisterUserInformation ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 03:49:18 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
2017-01-04 03:50:23 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : RESEND :: OTP sent , now redirecting to RegisterUserInformation ; SessionId : akjzmbhltdevk44atp0yz4tx ; 
