2017-01-19 11:40:58 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 11:41:04 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 11:41:11 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 11:42:45 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : DOB Validation - Success ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 11:42:45 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User NOT Registered For OTP ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 11:42:46 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 11:42:54 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 11:42:54 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 11:42:56 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 11:48:55 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 11:48:55 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 11:48:57 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 11:49:05 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : DOB Validation - Success ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 11:49:05 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User NOT Registered For OTP ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 11:49:06 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 12:02:59 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 12:05:56 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 12:06:00 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user exist - success ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 12:06:00 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 12:06:00 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 12:06:00 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - entry ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 12:06:00 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - success ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 12:06:00 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account lock in ART tool - entry ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 12:06:01 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 12:06:01 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user OTP enabled - entry ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 12:06:01 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user OTP enabled - OTP enabled - for both user and application level , now redirecting to ResetPasswordAuthType ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 12:06:01 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_AuthType ; TrStatus : Page load ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 12:06:04 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_AuthSecQue ; TrStatus : Page load , now redirecting to ResetPasswordQuestions ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 12:06:04 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_QA ; TrStatus : Reset Password Questions page load ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 01:24:55 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : Submit - check user exist - ENTRY ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 01:24:57 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user exist - EXIST ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 01:24:57 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user account is locked - ENTRY ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 01:25:02 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user account is locked - LOCKED ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 01:25:02 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user registered - ENTRY ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 01:25:02 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user registered - REGISTERED ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 01:25:02 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user account lock in ART tool - ENTRY ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 01:25:03 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 01:25:03 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user OTP enabled - OTP ENABLED - for both user and application level , now redirecting to AccountUnlockAuthType ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 01:25:03 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_AuthType ; TrStatus : Page load ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 01:25:06 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_AuthSecQue ; TrStatus : Page load , now redirecting to AccountUnlockQuestions ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 01:25:12 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account ; TrStatus : SUBMIT ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 01:25:12 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account ; TrStatus : Wrong Answer ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 01:25:12 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account ; TrStatus : Check the account is lock ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 01:25:16 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account ; TrStatus : SUBMIT ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 01:25:16 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account ; TrStatus : Account Unlocked ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 01:25:17 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account ; TrStatus : Create SUMMIT ITSM incident - START ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 01:25:20 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account ; TrStatus : Create SUMMIT ITSM incident - END ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 03:06:58 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 03:07:00 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user exist - success ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 03:07:00 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 03:07:00 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 03:07:00 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - entry ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 03:07:00 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - success ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 03:07:00 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account lock in ART tool - entry ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 03:07:00 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 03:07:00 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user OTP enabled - entry ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 03:07:00 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user OTP enabled - OTP enabled - for both user and application level , now redirecting to ResetPasswordAuthType ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 03:07:01 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_AuthType ; TrStatus : Page load ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 03:07:09 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 03:07:22 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user exist - failure ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 03:12:12 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 03:12:13 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 03:12:13 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 03:13:42 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 03:13:42 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 03:13:42 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 03:14:30 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 03:14:30 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 03:14:31 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 03:18:14 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 03:18:14 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 03:18:14 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 03:21:40 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 03:21:40 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 03:21:41 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 03:22:50 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 03:22:50 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 03:22:51 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 03:25:28 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 03:25:28 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 03:25:29 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 04:55:01 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 04:55:02 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 04:55:06 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 05:22:01 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 05:22:01 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : OTPValidation - Success ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 05:22:01 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Change Password - Success ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 05:22:09 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SUMMIT ITSM incident - START ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 05:22:27 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SUMMIT ITSM incident - END ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 05:24:28 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 05:24:28 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : OTPValidation - Success ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 05:24:28 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Change Password - Success ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 05:24:29 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SUMMIT ITSM incident - START ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
2017-01-19 05:24:32 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SUMMIT ITSM incident - END ; SessionId : h5m33gonudgtmecq12hv2dnc ; 
