2017-01-25 09:38:05 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 09:38:10 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 09:38:12 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 09:58:53 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 09:58:53 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 09:58:55 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 10:02:43 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:12:47 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:12:48 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:12:49 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:14:05 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:14:05 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:14:32 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Submit - Validate user otp ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:14:32 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : valid OTP, now redirecting to reset password ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:14:33 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User mobile number updated in AD ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:14:34 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:16:38 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:17:20 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User NOT Registered For OTP ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:17:27 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:20:38 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:20:38 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : InValid login ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:20:38 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Account not locked ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:20:48 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:20:48 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:20:49 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
