2017-03-15 10:17:59 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : b0kr04hx3bjn53l3vhhlv24h ; 
2017-03-15 10:18:04 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user exist - success ; SessionId : b0kr04hx3bjn53l3vhhlv24h ; 
2017-03-15 10:18:04 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : b0kr04hx3bjn53l3vhhlv24h ; 
2017-03-15 10:18:04 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : b0kr04hx3bjn53l3vhhlv24h ; 
2017-03-15 10:18:04 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - entry ; SessionId : b0kr04hx3bjn53l3vhhlv24h ; 
2017-03-15 10:18:04 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - success ; SessionId : b0kr04hx3bjn53l3vhhlv24h ; 
2017-03-15 10:18:04 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account lock in ART tool - entry ; SessionId : b0kr04hx3bjn53l3vhhlv24h ; 
2017-03-15 10:18:04 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : b0kr04hx3bjn53l3vhhlv24h ; 
2017-03-15 10:18:04 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user OTP enabled - entry ; SessionId : b0kr04hx3bjn53l3vhhlv24h ; 
2017-03-15 10:18:04 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user OTP enabled - OTP enabled - for both user and application level , now redirecting to ResetPasswordAuthType ; SessionId : b0kr04hx3bjn53l3vhhlv24h ; 
2017-03-15 10:18:05 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_AuthType ; TrStatus : Page load ; SessionId : b0kr04hx3bjn53l3vhhlv24h ; 
2017-03-15 10:18:55 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_AuthOTP ; TrStatus : OTP sent , now redirecting to ResetPasswordOTP ; SessionId : b0kr04hx3bjn53l3vhhlv24h ; 
2017-03-15 10:18:55 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_OTP ; TrStatus : Page load ; SessionId : b0kr04hx3bjn53l3vhhlv24h ; 
2017-03-15 01:07:27 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : b0kr04hx3bjn53l3vhhlv24h ; 
2017-03-15 01:07:27 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user exist - success ; SessionId : b0kr04hx3bjn53l3vhhlv24h ; 
2017-03-15 01:07:27 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : b0kr04hx3bjn53l3vhhlv24h ; 
2017-03-15 01:07:27 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : b0kr04hx3bjn53l3vhhlv24h ; 
2017-03-15 01:07:27 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - entry ; SessionId : b0kr04hx3bjn53l3vhhlv24h ; 
2017-03-15 01:07:28 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - success ; SessionId : b0kr04hx3bjn53l3vhhlv24h ; 
2017-03-15 01:07:28 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account lock in ART tool - entry ; SessionId : b0kr04hx3bjn53l3vhhlv24h ; 
2017-03-15 01:07:28 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : b0kr04hx3bjn53l3vhhlv24h ; 
2017-03-15 01:07:28 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user OTP enabled - entry ; SessionId : b0kr04hx3bjn53l3vhhlv24h ; 
2017-03-15 01:07:28 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user OTP enabled - OTP enabled - for both user and application level , now redirecting to ResetPasswordAuthType ; SessionId : b0kr04hx3bjn53l3vhhlv24h ; 
2017-03-15 01:07:28 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_AuthType ; TrStatus : Page load ; SessionId : b0kr04hx3bjn53l3vhhlv24h ; 
2017-03-15 01:07:44 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_AuthOTP ; TrStatus : OTP sent , now redirecting to ResetPasswordOTP ; SessionId : b0kr04hx3bjn53l3vhhlv24h ; 
2017-03-15 01:07:45 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_OTP ; TrStatus : Page load ; SessionId : b0kr04hx3bjn53l3vhhlv24h ; 
