2017-04-05 09:50:33 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 09:50:35 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 09:50:38 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 09:50:46 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 10:06:03 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 10:15:30 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 10:35:13 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 10:35:45 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 12:47:30 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 12:47:30 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : InValid login ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 12:47:30 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Account locked ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 12:48:07 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 12:48:07 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 12:48:07 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 12:48:15 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 12:58:29 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 12:59:07 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Success ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 12:59:07 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Register User in ART - Success ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 12:59:07 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 02:05:48 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 02:05:48 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 02:05:48 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 02:05:54 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 02:08:22 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 02:09:15 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 02:10:21 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 02:11:30 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 02:13:55 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 02:23:38 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 02:26:41 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 02:26:41 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 02:26:42 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 02:31:01 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 02:34:45 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 02:36:35 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 02:37:24 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 02:39:12 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 02:39:58 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Success ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 02:39:58 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Register User in ART - Success ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
