2017-07-31 09:57:47 => UserID : 38098 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : h4dhxpjjk2m2cqu2vmmawxlv ; 
2017-07-31 09:57:47 => UserID : 38098 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user exist - success ; SessionId : h4dhxpjjk2m2cqu2vmmawxlv ; 
2017-07-31 09:57:47 => UserID : 38098 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : h4dhxpjjk2m2cqu2vmmawxlv ; 
2017-07-31 09:57:47 => UserID : 38098 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : h4dhxpjjk2m2cqu2vmmawxlv ; 
2017-07-31 09:57:47 => UserID : 38098 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user registered - entry ; SessionId : h4dhxpjjk2m2cqu2vmmawxlv ; 
2017-07-31 09:57:48 => UserID : 38098 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user registered - failure ; SessionId : h4dhxpjjk2m2cqu2vmmawxlv ; 
2017-07-31 09:58:20 => UserID : 38098 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : hpxr0xm33bfzkwthsm3oy1or ; 
2017-07-31 09:58:20 => UserID : 38098 ; Message : UserEnroll :: Login ; TrStatus : InValid login ; SessionId : hpxr0xm33bfzkwthsm3oy1or ; 
2017-07-31 09:58:20 => UserID : 38098 ; Message : UserEnroll :: Login ; TrStatus : Account not locked ; SessionId : hpxr0xm33bfzkwthsm3oy1or ; 
2017-07-31 09:58:48 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : hpxr0xm33bfzkwthsm3oy1or ; 
2017-07-31 09:58:48 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : InValid login ; SessionId : hpxr0xm33bfzkwthsm3oy1or ; 
2017-07-31 09:58:48 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Account not locked ; SessionId : hpxr0xm33bfzkwthsm3oy1or ; 
2017-07-31 09:59:10 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : f51r5yctpqol1d2btzc0min2 ; 
2017-07-31 09:59:10 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user exist - success ; SessionId : f51r5yctpqol1d2btzc0min2 ; 
2017-07-31 09:59:10 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : f51r5yctpqol1d2btzc0min2 ; 
2017-07-31 09:59:10 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : f51r5yctpqol1d2btzc0min2 ; 
2017-07-31 09:59:10 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user registered - entry ; SessionId : f51r5yctpqol1d2btzc0min2 ; 
2017-07-31 09:59:10 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user registered - success ; SessionId : f51r5yctpqol1d2btzc0min2 ; 
2017-07-31 09:59:10 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account lock in ART tool - entry ; SessionId : f51r5yctpqol1d2btzc0min2 ; 
2017-07-31 09:59:10 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : f51r5yctpqol1d2btzc0min2 ; 
2017-07-31 09:59:10 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user OTP enabled - entry ; SessionId : f51r5yctpqol1d2btzc0min2 ; 
2017-07-31 09:59:12 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user OTP enabled - OTP enabled - for both user and application level , now redirecting to ResetPasswordAuthType ; SessionId : f51r5yctpqol1d2btzc0min2 ; 
2017-07-31 09:59:12 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_AuthType ; TrStatus : Page load ; SessionId : f51r5yctpqol1d2btzc0min2 ; 
2017-07-31 10:15:00 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_AuthOTP ; TrStatus : Sending OTP - Failure ; SessionId : f51r5yctpqol1d2btzc0min2 ; 
2017-07-31 10:15:06 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_AuthType ; TrStatus : Page load ; SessionId : f51r5yctpqol1d2btzc0min2 ; 
2017-07-31 10:17:56 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_AuthOTP ; TrStatus : Sending OTP - Failure ; SessionId : f51r5yctpqol1d2btzc0min2 ; 
2017-07-31 10:17:58 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_AuthType ; TrStatus : Page load ; SessionId : f51r5yctpqol1d2btzc0min2 ; 
2017-07-31 10:18:04 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_AuthSecQue ; TrStatus : Page load , now redirecting to ResetPasswordQuestions ; SessionId : f51r5yctpqol1d2btzc0min2 ; 
2017-07-31 10:18:05 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Reset Password Questions page load ; SessionId : f51r5yctpqol1d2btzc0min2 ; 
2017-07-31 10:18:13 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Reset Password Questions submit ; SessionId : f51r5yctpqol1d2btzc0min2 ; 
2017-07-31 10:19:05 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : invalid answer ; SessionId : f51r5yctpqol1d2btzc0min2 ; 
2017-07-31 10:19:06 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : check user account is locked ; SessionId : f51r5yctpqol1d2btzc0min2 ; 
2017-07-31 10:19:11 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Reset Password Questions page load ; SessionId : f51r5yctpqol1d2btzc0min2 ; 
2017-07-31 10:24:07 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Reset Password Questions submit ; SessionId : f51r5yctpqol1d2btzc0min2 ; 
2017-07-31 10:26:18 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Valid answer, now redirecting to Reset page ; SessionId : f51r5yctpqol1d2btzc0min2 ; 
2017-07-31 10:26:25 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : Reset Password page load ; SessionId : f51r5yctpqol1d2btzc0min2 ; 
2017-07-31 10:27:20 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : STARTED ; SessionId : f51r5yctpqol1d2btzc0min2 ; 
2017-07-31 10:27:21 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : SUCCESS ; SessionId : f51r5yctpqol1d2btzc0min2 ; 
