2017-08-01 12:02:27 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : snytxkynd0pvwicyaawif3ua ; 
2017-08-01 12:03:11 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user exist - success ; SessionId : snytxkynd0pvwicyaawif3ua ; 
2017-08-01 12:03:12 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : snytxkynd0pvwicyaawif3ua ; 
2017-08-01 12:03:13 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : snytxkynd0pvwicyaawif3ua ; 
2017-08-01 12:03:14 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user registered - entry ; SessionId : snytxkynd0pvwicyaawif3ua ; 
2017-08-01 12:03:14 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user registered - success ; SessionId : snytxkynd0pvwicyaawif3ua ; 
2017-08-01 12:03:15 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account lock in ART tool - entry ; SessionId : snytxkynd0pvwicyaawif3ua ; 
2017-08-01 12:03:26 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : snytxkynd0pvwicyaawif3ua ; 
2017-08-01 12:03:27 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user OTP enabled - entry ; SessionId : snytxkynd0pvwicyaawif3ua ; 
2017-08-01 12:10:56 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user OTP enabled - OTP enabled - for both user and application level , now redirecting to ResetPasswordAuthType ; SessionId : snytxkynd0pvwicyaawif3ua ; 
2017-08-01 12:11:59 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_AuthType ; TrStatus : Page load ; SessionId : snytxkynd0pvwicyaawif3ua ; 
2017-08-01 03:38:12 => UserID :  ; Message : ForgotPassword :: Forgot_Password_AuthSecQue ; TrStatus : Page load , now redirecting to ResetPasswordQuestions ; SessionId : snytxkynd0pvwicyaawif3ua ; 
2017-08-01 04:00:12 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : snytxkynd0pvwicyaawif3ua ; 
2017-08-01 04:02:49 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : snytxkynd0pvwicyaawif3ua ; 
2017-08-01 04:03:44 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user exist - success ; SessionId : snytxkynd0pvwicyaawif3ua ; 
2017-08-01 04:03:56 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : snytxkynd0pvwicyaawif3ua ; 
2017-08-01 04:04:51 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : snytxkynd0pvwicyaawif3ua ; 
2017-08-01 04:04:52 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user registered - entry ; SessionId : snytxkynd0pvwicyaawif3ua ; 
2017-08-01 04:04:53 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user registered - success ; SessionId : snytxkynd0pvwicyaawif3ua ; 
2017-08-01 04:04:54 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account lock in ART tool - entry ; SessionId : snytxkynd0pvwicyaawif3ua ; 
2017-08-01 04:04:55 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : snytxkynd0pvwicyaawif3ua ; 
2017-08-01 04:04:55 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user OTP enabled - entry ; SessionId : snytxkynd0pvwicyaawif3ua ; 
