2017-08-09 09:27:13 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : jh1cuasil5hcbcqp1a3lndtv ; 
2017-08-09 09:27:16 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user exist - success ; SessionId : jh1cuasil5hcbcqp1a3lndtv ; 
2017-08-09 09:27:17 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : jh1cuasil5hcbcqp1a3lndtv ; 
2017-08-09 09:27:20 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : jh1cuasil5hcbcqp1a3lndtv ; 
2017-08-09 09:27:20 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user registered - entry ; SessionId : jh1cuasil5hcbcqp1a3lndtv ; 
2017-08-09 09:27:20 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user registered - success ; SessionId : jh1cuasil5hcbcqp1a3lndtv ; 
2017-08-09 09:27:20 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account lock in ART tool - entry ; SessionId : jh1cuasil5hcbcqp1a3lndtv ; 
2017-08-09 09:27:20 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : jh1cuasil5hcbcqp1a3lndtv ; 
2017-08-09 09:27:20 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user OTP enabled - entry ; SessionId : jh1cuasil5hcbcqp1a3lndtv ; 
2017-08-09 09:27:21 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user OTP enabled - OTP enabled - for both user and application level , now redirecting to ResetPasswordAuthType ; SessionId : jh1cuasil5hcbcqp1a3lndtv ; 
2017-08-09 09:27:21 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_AuthType ; TrStatus : Page load ; SessionId : jh1cuasil5hcbcqp1a3lndtv ; 
2017-08-09 09:27:23 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_AuthSecQue ; TrStatus : Page load , now redirecting to ResetPasswordQuestions ; SessionId : jh1cuasil5hcbcqp1a3lndtv ; 
2017-08-09 09:27:23 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Reset Password Questions page load ; SessionId : jh1cuasil5hcbcqp1a3lndtv ; 
2017-08-09 09:27:28 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Reset Password Questions submit ; SessionId : jh1cuasil5hcbcqp1a3lndtv ; 
2017-08-09 09:27:33 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Valid answer, now redirecting to Reset page ; SessionId : jh1cuasil5hcbcqp1a3lndtv ; 
2017-08-09 09:27:41 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : Reset Password page load ; SessionId : jh1cuasil5hcbcqp1a3lndtv ; 
2017-08-09 09:28:27 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : STARTED ; SessionId : jh1cuasil5hcbcqp1a3lndtv ; 
