2017-09-08 10:09:34 => UserID : 38098 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : vkdwx11w4j0z5f1h2igsfl00 ; 
2017-09-08 10:09:35 => UserID : 38098 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user exist - success ; SessionId : vkdwx11w4j0z5f1h2igsfl00 ; 
2017-09-08 10:09:35 => UserID : 38098 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : vkdwx11w4j0z5f1h2igsfl00 ; 
2017-09-08 10:09:35 => UserID : 38098 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : vkdwx11w4j0z5f1h2igsfl00 ; 
2017-09-08 10:09:35 => UserID : 38098 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user registered - entry ; SessionId : vkdwx11w4j0z5f1h2igsfl00 ; 
2017-09-08 10:09:35 => UserID : 38098 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user registered - success ; SessionId : vkdwx11w4j0z5f1h2igsfl00 ; 
2017-09-08 10:09:35 => UserID : 38098 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account lock in ART tool - entry ; SessionId : vkdwx11w4j0z5f1h2igsfl00 ; 
2017-09-08 10:09:35 => UserID : 38098 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : vkdwx11w4j0z5f1h2igsfl00 ; 
2017-09-08 10:09:35 => UserID : 38098 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user OTP enabled - entry ; SessionId : vkdwx11w4j0z5f1h2igsfl00 ; 
2017-09-08 10:09:37 => UserID : 38098 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user OTP enabled - OTP enabled - for both user and application level , now redirecting to ResetPasswordAuthType ; SessionId : vkdwx11w4j0z5f1h2igsfl00 ; 
2017-09-08 10:09:37 => UserID : 38098 ; Message : ForgotPassword :: Forgot_Password_AuthType ; TrStatus : Page load ; SessionId : vkdwx11w4j0z5f1h2igsfl00 ; 
2017-09-08 10:10:09 => UserID : 34678 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : c4kguxiqei4je0zyvzyvkmx2 ; 
