2017-09-12 11:10:10 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : tt2lpcqj0juu2pzcxunazwkn ; 
2017-09-12 11:11:41 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : nwbanzlghffp5imhdvruxphf ; 
2017-09-12 11:11:57 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : nwbanzlghffp5imhdvruxphf ; 
2017-09-12 11:12:11 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : nwbanzlghffp5imhdvruxphf ; 
2017-09-12 11:13:37 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : nwbanzlghffp5imhdvruxphf ; 
2017-09-12 11:15:43 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : nwbanzlghffp5imhdvruxphf ; 
2017-09-12 11:16:02 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : zf1en4pe4omlevmyhbuvspkv ; 
2017-09-12 11:16:03 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : zf1en4pe4omlevmyhbuvspkv ; 
2017-09-12 11:16:07 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : zf1en4pe4omlevmyhbuvspkv ; 
2017-09-12 11:16:36 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : zf1en4pe4omlevmyhbuvspkv ; 
2017-09-12 11:16:37 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : zf1en4pe4omlevmyhbuvspkv ; 
2017-09-12 11:17:09 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Submit - Validate user otp ; SessionId : zf1en4pe4omlevmyhbuvspkv ; 
2017-09-12 11:17:09 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : valid OTP, now redirecting to reset password ; SessionId : zf1en4pe4omlevmyhbuvspkv ; 
2017-09-12 11:17:10 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User mobile number updated in AD ; SessionId : zf1en4pe4omlevmyhbuvspkv ; 
2017-09-12 11:17:11 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : zf1en4pe4omlevmyhbuvspkv ; 
