2017-09-14 10:08:42 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : s0n50sjq2uepuce051z1lxgv ; 
2017-09-14 10:08:54 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : s0n50sjq2uepuce051z1lxgv ; 
2017-09-14 10:11:32 => UserID : 38098 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : s0n50sjq2uepuce051z1lxgv ; 
2017-09-14 10:11:46 => UserID : 38098 ; Message : UserEnroll :: Register ; TrStatus : Success ; SessionId : s0n50sjq2uepuce051z1lxgv ; 
2017-09-14 10:11:46 => UserID : 38098 ; Message : UserEnroll :: Register ; TrStatus : Register User in ART - Success ; SessionId : s0n50sjq2uepuce051z1lxgv ; 
2017-09-14 10:11:47 => UserID : 38098 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : s0n50sjq2uepuce051z1lxgv ; 
2017-09-14 10:19:36 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 13r5xrmxn5sjcfpcmu20gpof ; 
2017-09-14 10:21:32 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 13r5xrmxn5sjcfpcmu20gpof ; 
2017-09-14 11:36:25 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : sv3tt2lfhir3n2qemdsxwuq5 ; 
2017-09-14 11:41:28 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : sv3tt2lfhir3n2qemdsxwuq5 ; 
2017-09-14 11:42:22 => UserID : 38098 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : sv3tt2lfhir3n2qemdsxwuq5 ; 
2017-09-14 11:42:33 => UserID : 38098 ; Message : UserEnroll :: Register ; TrStatus : Success ; SessionId : sv3tt2lfhir3n2qemdsxwuq5 ; 
2017-09-14 11:42:33 => UserID : 38098 ; Message : UserEnroll :: Register ; TrStatus : Register User in ART - Success ; SessionId : sv3tt2lfhir3n2qemdsxwuq5 ; 
2017-09-14 11:42:34 => UserID : 38098 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : sv3tt2lfhir3n2qemdsxwuq5 ; 
2017-09-14 11:52:15 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : bt0ilw13tuwtmgnx0bgiykhp ; 
2017-09-14 11:59:41 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : bt0ilw13tuwtmgnx0bgiykhp ; 
2017-09-14 12:00:20 => UserID : 38098 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : bt0ilw13tuwtmgnx0bgiykhp ; 
2017-09-14 12:00:30 => UserID : 38098 ; Message : UserEnroll :: Register ; TrStatus : Success ; SessionId : bt0ilw13tuwtmgnx0bgiykhp ; 
2017-09-14 12:00:30 => UserID : 38098 ; Message : UserEnroll :: Register ; TrStatus : Register User in ART - Success ; SessionId : bt0ilw13tuwtmgnx0bgiykhp ; 
2017-09-14 12:00:31 => UserID : 38098 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : bt0ilw13tuwtmgnx0bgiykhp ; 
2017-09-14 12:37:27 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : w1l1qssfegwus5dz0i1o22yl ; 
2017-09-14 12:37:36 => UserID : 24690 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : w1l1qssfegwus5dz0i1o22yl ; 
2017-09-14 12:37:46 => UserID : 24690 ; Message : UserEnroll :: Register ; TrStatus : Success ; SessionId : w1l1qssfegwus5dz0i1o22yl ; 
2017-09-14 12:37:46 => UserID : 24690 ; Message : UserEnroll :: Register ; TrStatus : Register User in ART - Success ; SessionId : w1l1qssfegwus5dz0i1o22yl ; 
2017-09-14 12:37:48 => UserID : 24690 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : w1l1qssfegwus5dz0i1o22yl ; 
2017-09-14 12:45:47 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : swt5qvlxogms3lvyols5revd ; 
2017-09-14 12:46:21 => UserID : 24690 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : swt5qvlxogms3lvyols5revd ; 
