2017-09-18 02:12:30 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : kzmu2zcp0g2mbeudysecl02u ; 
2017-09-18 02:12:57 => UserID : 38098 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : kzmu2zcp0g2mbeudysecl02u ; 
2017-09-18 02:18:41 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Success ; SessionId : kzmu2zcp0g2mbeudysecl02u ; 
2017-09-18 02:18:41 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Enrollment Link Status Updated Failure ; SessionId : kzmu2zcp0g2mbeudysecl02u ; 
2017-09-18 02:18:41 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Register User in ART - Success ; SessionId : kzmu2zcp0g2mbeudysecl02u ; 
2017-09-18 02:21:02 => UserID : 38098 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : kzmu2zcp0g2mbeudysecl02u ; 
2017-09-18 04:25:39 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : hwcssrc0vw2mnwgojfhmckue ; 
2017-09-18 04:34:21 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : on1itxrcyx1pqjml0sisr3lb ; 
2017-09-18 04:35:06 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : on1itxrcyx1pqjml0sisr3lb ; 
2017-09-18 04:35:27 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : on1itxrcyx1pqjml0sisr3lb ; 
2017-09-18 04:38:23 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : on1itxrcyx1pqjml0sisr3lb ; 
2017-09-18 04:39:45 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : on1itxrcyx1pqjml0sisr3lb ; 
2017-09-18 04:45:48 => UserID : 34243 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : on1itxrcyx1pqjml0sisr3lb ; 
2017-09-18 04:45:59 => UserID : 34243 ; Message : UserEnroll :: Register ; TrStatus : Success ; SessionId : on1itxrcyx1pqjml0sisr3lb ; 
2017-09-18 04:45:59 => UserID : 34243 ; Message : UserEnroll :: Register ; TrStatus : Enrollment Link Status Updated Successfully ; SessionId : on1itxrcyx1pqjml0sisr3lb ; 
2017-09-18 04:45:59 => UserID : 34243 ; Message : UserEnroll :: Register ; TrStatus : Register User in ART - Success ; SessionId : on1itxrcyx1pqjml0sisr3lb ; 
2017-09-18 04:46:00 => UserID : 34243 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : on1itxrcyx1pqjml0sisr3lb ; 
2017-09-18 05:56:06 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : qv1bw1f1fmqghklh0i3avjzw ; 
2017-09-18 05:56:26 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : qv1bw1f1fmqghklh0i3avjzw ; 
2017-09-18 06:02:12 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : ymdayh05gcu3tbbyshhagbz3 ; 
2017-09-18 06:02:37 => UserID : 34243 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : ymdayh05gcu3tbbyshhagbz3 ; 
