2016-12-28 02:23:31 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : nkpijrcnz4leejws3aanoehs ; 
2016-12-28 02:23:31 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user exist - success ; SessionId : nkpijrcnz4leejws3aanoehs ; 
2016-12-28 02:23:31 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : nkpijrcnz4leejws3aanoehs ; 
2016-12-28 02:23:31 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : nkpijrcnz4leejws3aanoehs ; 
2016-12-28 02:23:31 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - entry ; SessionId : nkpijrcnz4leejws3aanoehs ; 
2016-12-28 02:23:31 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - success ; SessionId : nkpijrcnz4leejws3aanoehs ; 
2016-12-28 02:23:31 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account lock in ART tool - entry ; SessionId : nkpijrcnz4leejws3aanoehs ; 
2016-12-28 02:23:31 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : nkpijrcnz4leejws3aanoehs ; 
2016-12-28 02:23:31 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user OTP enabled - entry ; SessionId : nkpijrcnz4leejws3aanoehs ; 
2016-12-28 02:23:31 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user OTP enabled - OTP enabled - for both user and application level , now redirecting to ResetPasswordAuthType ; SessionId : nkpijrcnz4leejws3aanoehs ; 
2016-12-28 02:23:31 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_AuthType ; TrStatus : Page load ; SessionId : nkpijrcnz4leejws3aanoehs ; 
2016-12-28 02:28:14 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : nkpijrcnz4leejws3aanoehs ; 
2016-12-28 02:28:15 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : nkpijrcnz4leejws3aanoehs ; 
2016-12-28 02:28:15 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : nkpijrcnz4leejws3aanoehs ; 
2016-12-28 02:28:24 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : DOB Validation - Success ; SessionId : nkpijrcnz4leejws3aanoehs ; 
2016-12-28 02:28:24 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User NOT Registered For OTP ; SessionId : nkpijrcnz4leejws3aanoehs ; 
