2016-12-30 12:09:23 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : yltl1cygjrj5r23eaajgnusm ; 
2016-12-30 12:09:32 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : yltl1cygjrj5r23eaajgnusm ; 
2016-12-30 12:09:33 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : yltl1cygjrj5r23eaajgnusm ; 
2016-12-30 12:09:59 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : DOB Validation - Success ; SessionId : yltl1cygjrj5r23eaajgnusm ; 
2016-12-30 12:09:59 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User Registered For OTP ; SessionId : yltl1cygjrj5r23eaajgnusm ; 
2016-12-30 12:09:59 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User mobile number updated in AD ; SessionId : yltl1cygjrj5r23eaajgnusm ; 
2016-12-30 12:10:00 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : yltl1cygjrj5r23eaajgnusm ; 
2016-12-30 12:27:42 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : yltl1cygjrj5r23eaajgnusm ; 
2016-12-30 12:27:42 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user exist - success ; SessionId : yltl1cygjrj5r23eaajgnusm ; 
2016-12-30 12:27:42 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : yltl1cygjrj5r23eaajgnusm ; 
2016-12-30 12:27:42 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : yltl1cygjrj5r23eaajgnusm ; 
2016-12-30 12:27:42 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - entry ; SessionId : yltl1cygjrj5r23eaajgnusm ; 
2016-12-30 12:27:42 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - success ; SessionId : yltl1cygjrj5r23eaajgnusm ; 
2016-12-30 12:27:42 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account lock in ART tool - entry ; SessionId : yltl1cygjrj5r23eaajgnusm ; 
2016-12-30 12:27:42 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : yltl1cygjrj5r23eaajgnusm ; 
2016-12-30 12:27:42 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user OTP enabled - entry ; SessionId : yltl1cygjrj5r23eaajgnusm ; 
2016-12-30 12:27:42 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user OTP enabled - OTP enabled - for both user and application level , now redirecting to ResetPasswordAuthType ; SessionId : yltl1cygjrj5r23eaajgnusm ; 
2016-12-30 12:27:43 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_AuthType ; TrStatus : Page load ; SessionId : yltl1cygjrj5r23eaajgnusm ; 
