2017-01-03 10:55:03 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : 5gyrvuq2g0x2qgcvwsafvrxt ; 
2017-01-03 10:55:08 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user exist - success ; SessionId : 5gyrvuq2g0x2qgcvwsafvrxt ; 
2017-01-03 10:55:08 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : 5gyrvuq2g0x2qgcvwsafvrxt ; 
2017-01-03 10:55:08 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : 5gyrvuq2g0x2qgcvwsafvrxt ; 
2017-01-03 10:55:08 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - entry ; SessionId : 5gyrvuq2g0x2qgcvwsafvrxt ; 
2017-01-03 10:55:08 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - success ; SessionId : 5gyrvuq2g0x2qgcvwsafvrxt ; 
2017-01-03 10:55:08 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account lock in ART tool - entry ; SessionId : 5gyrvuq2g0x2qgcvwsafvrxt ; 
2017-01-03 10:55:08 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : 5gyrvuq2g0x2qgcvwsafvrxt ; 
2017-01-03 10:55:08 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user OTP enabled - entry ; SessionId : 5gyrvuq2g0x2qgcvwsafvrxt ; 
2017-01-03 10:55:09 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user OTP enabled - OTP enabled - for both user and application level , now redirecting to ResetPasswordAuthType ; SessionId : 5gyrvuq2g0x2qgcvwsafvrxt ; 
2017-01-03 10:55:09 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_AuthType ; TrStatus : Page load ; SessionId : 5gyrvuq2g0x2qgcvwsafvrxt ; 
2017-01-03 10:55:15 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_OTP ; TrStatus : Page load ; SessionId : 5gyrvuq2g0x2qgcvwsafvrxt ; 
2017-01-03 11:01:02 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_OTP ; TrStatus : Page load ; SessionId : 5gyrvuq2g0x2qgcvwsafvrxt ; 
2017-01-03 11:03:19 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_OTP ; TrStatus : Page load ; SessionId : 5gyrvuq2g0x2qgcvwsafvrxt ; 
2017-01-03 11:08:49 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_OTP ; TrStatus : Page load ; SessionId : 5gyrvuq2g0x2qgcvwsafvrxt ; 
2017-01-03 11:10:19 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_OTP ; TrStatus : Page load ; SessionId : 5gyrvuq2g0x2qgcvwsafvrxt ; 
2017-01-03 04:49:35 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : ggbio11xwt10100nmbpdcsig ; 
2017-01-03 04:49:35 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : ggbio11xwt10100nmbpdcsig ; 
2017-01-03 04:49:36 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : ggbio11xwt10100nmbpdcsig ; 
2017-01-03 04:49:45 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : DOB Validation - Success ; SessionId : ggbio11xwt10100nmbpdcsig ; 
2017-01-03 04:49:45 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User Registered For OTP ; SessionId : ggbio11xwt10100nmbpdcsig ; 
2017-01-03 04:49:45 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User mobile number updated in AD ; SessionId : ggbio11xwt10100nmbpdcsig ; 
2017-01-03 04:49:46 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : ggbio11xwt10100nmbpdcsig ; 
2017-01-03 04:49:52 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Success ; SessionId : ggbio11xwt10100nmbpdcsig ; 
2017-01-03 04:49:52 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Register User in ART - Success ; SessionId : ggbio11xwt10100nmbpdcsig ; 
2017-01-03 04:49:58 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : ggbio11xwt10100nmbpdcsig ; 
2017-01-03 04:50:05 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : ggbio11xwt10100nmbpdcsig ; 
2017-01-03 04:50:05 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user exist - success ; SessionId : ggbio11xwt10100nmbpdcsig ; 
2017-01-03 04:50:05 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : ggbio11xwt10100nmbpdcsig ; 
2017-01-03 04:50:06 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : ggbio11xwt10100nmbpdcsig ; 
2017-01-03 04:50:06 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - entry ; SessionId : ggbio11xwt10100nmbpdcsig ; 
2017-01-03 04:50:06 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - success ; SessionId : ggbio11xwt10100nmbpdcsig ; 
2017-01-03 04:50:06 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account lock in ART tool - entry ; SessionId : ggbio11xwt10100nmbpdcsig ; 
2017-01-03 04:50:06 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : ggbio11xwt10100nmbpdcsig ; 
2017-01-03 04:50:06 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user OTP enabled - entry ; SessionId : ggbio11xwt10100nmbpdcsig ; 
