2017-01-05 10:11:52 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 10:11:58 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 10:11:59 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 10:13:49 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 10:33:15 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 10:33:15 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 10:33:16 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 10:33:35 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 10:33:37 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 10:34:12 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Submit - Validate user otp ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 10:34:14 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : valid OTP, now redirecting to reset password ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 10:34:28 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 10:35:31 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : DOB Validation - Failure ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 10:35:31 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 10:36:43 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : DOB Validation - Success ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 10:36:44 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User Registered For OTP ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 10:36:44 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User mobile number updated in AD ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
