2017-01-09 10:13:33 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : xvmvn1b5h2oggjwvyt3agvjt ; 
2017-01-09 10:13:39 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : xvmvn1b5h2oggjwvyt3agvjt ; 
2017-01-09 10:13:40 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : xvmvn1b5h2oggjwvyt3agvjt ; 
2017-01-09 10:21:08 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Sending OTP - Failure ; SessionId : xvmvn1b5h2oggjwvyt3agvjt ; 
2017-01-09 10:21:08 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : xvmvn1b5h2oggjwvyt3agvjt ; 
2017-01-09 10:25:11 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Sending OTP - Failure ; SessionId : xvmvn1b5h2oggjwvyt3agvjt ; 
2017-01-09 10:25:11 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : xvmvn1b5h2oggjwvyt3agvjt ; 
2017-01-09 10:33:51 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : xvmvn1b5h2oggjwvyt3agvjt ; 
2017-01-09 10:33:51 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : xvmvn1b5h2oggjwvyt3agvjt ; 
2017-01-09 10:34:59 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : xvmvn1b5h2oggjwvyt3agvjt ; 
2017-01-09 10:34:59 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : xvmvn1b5h2oggjwvyt3agvjt ; 
2017-01-09 10:35:00 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : xvmvn1b5h2oggjwvyt3agvjt ; 
2017-01-09 10:35:34 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : xvmvn1b5h2oggjwvyt3agvjt ; 
2017-01-09 10:35:42 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : xvmvn1b5h2oggjwvyt3agvjt ; 
2017-01-09 10:35:42 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : xvmvn1b5h2oggjwvyt3agvjt ; 
2017-01-09 10:36:04 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Submit - Validate user otp ; SessionId : xvmvn1b5h2oggjwvyt3agvjt ; 
2017-01-09 10:36:04 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : valid OTP, now redirecting to reset password ; SessionId : xvmvn1b5h2oggjwvyt3agvjt ; 
2017-01-09 10:36:05 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User mobile number updated in AD ; SessionId : xvmvn1b5h2oggjwvyt3agvjt ; 
2017-01-09 10:36:05 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : xvmvn1b5h2oggjwvyt3agvjt ; 
2017-01-09 10:36:11 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : DOB Validation - Success ; SessionId : xvmvn1b5h2oggjwvyt3agvjt ; 
2017-01-09 10:36:12 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : xvmvn1b5h2oggjwvyt3agvjt ; 
2017-01-09 11:04:18 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : tjrni01whhi3ws0cudn0omxs ; 
2017-01-09 11:04:18 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : tjrni01whhi3ws0cudn0omxs ; 
2017-01-09 11:04:19 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : tjrni01whhi3ws0cudn0omxs ; 
2017-01-09 11:04:38 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : DOB Validation - Success ; SessionId : tjrni01whhi3ws0cudn0omxs ; 
2017-01-09 11:04:38 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User NOT Registered For OTP ; SessionId : tjrni01whhi3ws0cudn0omxs ; 
2017-01-09 11:04:38 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : tjrni01whhi3ws0cudn0omxs ; 
2017-01-09 11:04:58 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Success ; SessionId : tjrni01whhi3ws0cudn0omxs ; 
2017-01-09 11:04:58 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Register User in ART - Success ; SessionId : tjrni01whhi3ws0cudn0omxs ; 
2017-01-09 11:05:57 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : tjrni01whhi3ws0cudn0omxs ; 
2017-01-09 11:06:04 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : tjrni01whhi3ws0cudn0omxs ; 
2017-01-09 11:06:04 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : tjrni01whhi3ws0cudn0omxs ; 
2017-01-09 11:06:04 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : tjrni01whhi3ws0cudn0omxs ; 
2017-01-09 11:06:13 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : tjrni01whhi3ws0cudn0omxs ; 
2017-01-09 11:06:13 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : tjrni01whhi3ws0cudn0omxs ; 
2017-01-09 11:06:29 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Submit - Validate user otp ; SessionId : tjrni01whhi3ws0cudn0omxs ; 
2017-01-09 11:06:29 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : valid OTP, now redirecting to reset password ; SessionId : tjrni01whhi3ws0cudn0omxs ; 
2017-01-09 11:06:29 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User mobile number updated in AD ; SessionId : tjrni01whhi3ws0cudn0omxs ; 
2017-01-09 11:06:29 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : tjrni01whhi3ws0cudn0omxs ; 
2017-01-09 11:06:32 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : DOB Validation - Success ; SessionId : tjrni01whhi3ws0cudn0omxs ; 
2017-01-09 11:06:32 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : tjrni01whhi3ws0cudn0omxs ; 
2017-01-09 11:07:13 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : tjrni01whhi3ws0cudn0omxs ; 
2017-01-09 11:07:14 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : OTPValidation - Success ; SessionId : tjrni01whhi3ws0cudn0omxs ; 
2017-01-09 11:07:14 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Change Password - Success ; SessionId : tjrni01whhi3ws0cudn0omxs ; 
2017-01-09 11:07:27 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - START ; SessionId : tjrni01whhi3ws0cudn0omxs ; 
2017-01-09 11:32:28 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : 5lcyqxzbxat4myt3ar02bsg2 ; 
2017-01-09 11:32:28 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : 5lcyqxzbxat4myt3ar02bsg2 ; 
