2017-01-10 10:23:59 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : ddan0vq52tlzgrpms2wedzsq ; 
2017-01-10 10:24:05 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : ddan0vq52tlzgrpms2wedzsq ; 
2017-01-10 10:24:06 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : ddan0vq52tlzgrpms2wedzsq ; 
2017-01-10 10:26:09 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : ddan0vq52tlzgrpms2wedzsq ; 
2017-01-10 10:26:19 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : ddan0vq52tlzgrpms2wedzsq ; 
2017-01-10 10:27:26 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : ddan0vq52tlzgrpms2wedzsq ; 
2017-01-10 10:27:51 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : ddan0vq52tlzgrpms2wedzsq ; 
2017-01-10 10:28:45 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : ddan0vq52tlzgrpms2wedzsq ; 
2017-01-10 10:29:10 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : ddan0vq52tlzgrpms2wedzsq ; 
2017-01-10 10:29:32 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : d1qus24lcoeqyt2vyrqskegj ; 
2017-01-10 10:29:32 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : d1qus24lcoeqyt2vyrqskegj ; 
2017-01-10 10:29:33 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : d1qus24lcoeqyt2vyrqskegj ; 
2017-01-10 10:31:29 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : ddan0vq52tlzgrpms2wedzsq ; 
2017-01-10 10:31:29 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : ddan0vq52tlzgrpms2wedzsq ; 
2017-01-10 10:31:29 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : ddan0vq52tlzgrpms2wedzsq ; 
2017-01-10 10:31:46 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : ddan0vq52tlzgrpms2wedzsq ; 
2017-01-10 10:32:29 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : ddan0vq52tlzgrpms2wedzsq ; 
2017-01-10 11:04:12 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : ddan0vq52tlzgrpms2wedzsq ; 
2017-01-10 11:04:12 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : ddan0vq52tlzgrpms2wedzsq ; 
2017-01-10 11:04:13 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : ddan0vq52tlzgrpms2wedzsq ; 
2017-01-10 11:04:17 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : ddan0vq52tlzgrpms2wedzsq ; 
2017-01-10 11:04:45 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : ddan0vq52tlzgrpms2wedzsq ; 
2017-01-10 11:04:46 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : ddan0vq52tlzgrpms2wedzsq ; 
2017-01-10 11:05:08 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Submit - Validate user otp ; SessionId : ddan0vq52tlzgrpms2wedzsq ; 
2017-01-10 11:05:08 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : valid OTP, now redirecting to reset password ; SessionId : ddan0vq52tlzgrpms2wedzsq ; 
2017-01-10 11:05:09 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User mobile number updated in AD ; SessionId : ddan0vq52tlzgrpms2wedzsq ; 
2017-01-10 11:05:09 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : ddan0vq52tlzgrpms2wedzsq ; 
2017-01-10 11:05:19 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : DOB Validation - Success ; SessionId : ddan0vq52tlzgrpms2wedzsq ; 
