2017-03-31 04:04:49 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : i1qmla3mjwkmaks4bdoyyk03 ; 
2017-03-31 04:04:50 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : i1qmla3mjwkmaks4bdoyyk03 ; 
2017-03-31 04:04:51 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : i1qmla3mjwkmaks4bdoyyk03 ; 
2017-03-31 04:05:41 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : i1qmla3mjwkmaks4bdoyyk03 ; 
2017-03-31 04:05:41 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : i1qmla3mjwkmaks4bdoyyk03 ; 
2017-03-31 04:05:42 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : i1qmla3mjwkmaks4bdoyyk03 ; 
2017-03-31 04:08:26 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Sending OTP - Failure ; SessionId : i1qmla3mjwkmaks4bdoyyk03 ; 
2017-03-31 04:08:26 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : i1qmla3mjwkmaks4bdoyyk03 ; 
2017-03-31 04:13:07 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Sending OTP - Failure ; SessionId : i1qmla3mjwkmaks4bdoyyk03 ; 
2017-03-31 04:13:11 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : i1qmla3mjwkmaks4bdoyyk03 ; 
2017-03-31 04:40:32 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : i1qmla3mjwkmaks4bdoyyk03 ; 
2017-03-31 04:40:32 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : i1qmla3mjwkmaks4bdoyyk03 ; 
2017-03-31 04:40:33 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : i1qmla3mjwkmaks4bdoyyk03 ; 
2017-03-31 04:41:51 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : i1qmla3mjwkmaks4bdoyyk03 ; 
2017-03-31 04:41:51 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user exist - success ; SessionId : i1qmla3mjwkmaks4bdoyyk03 ; 
2017-03-31 04:41:51 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : i1qmla3mjwkmaks4bdoyyk03 ; 
2017-03-31 04:41:51 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : i1qmla3mjwkmaks4bdoyyk03 ; 
2017-03-31 04:41:51 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - entry ; SessionId : i1qmla3mjwkmaks4bdoyyk03 ; 
2017-03-31 04:41:51 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - success ; SessionId : i1qmla3mjwkmaks4bdoyyk03 ; 
2017-03-31 04:41:51 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account lock in ART tool - entry ; SessionId : i1qmla3mjwkmaks4bdoyyk03 ; 
2017-03-31 04:41:51 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : i1qmla3mjwkmaks4bdoyyk03 ; 
2017-03-31 04:41:51 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user OTP enabled - entry ; SessionId : i1qmla3mjwkmaks4bdoyyk03 ; 
