2017-04-03 03:17:18 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : d44kodtsznma1jgfhey2trlm ; 
2017-04-03 03:17:19 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : d44kodtsznma1jgfhey2trlm ; 
2017-04-03 03:17:19 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : d44kodtsznma1jgfhey2trlm ; 
2017-04-03 03:47:41 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : d44kodtsznma1jgfhey2trlm ; 
2017-04-03 03:47:42 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user exist - success ; SessionId : d44kodtsznma1jgfhey2trlm ; 
2017-04-03 03:47:42 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : d44kodtsznma1jgfhey2trlm ; 
2017-04-03 03:47:42 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : d44kodtsznma1jgfhey2trlm ; 
2017-04-03 03:47:42 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - entry ; SessionId : d44kodtsznma1jgfhey2trlm ; 
2017-04-03 03:47:42 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - failure ; SessionId : d44kodtsznma1jgfhey2trlm ; 
2017-04-03 03:47:55 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : d44kodtsznma1jgfhey2trlm ; 
2017-04-03 03:47:55 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : d44kodtsznma1jgfhey2trlm ; 
2017-04-03 03:47:56 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : d44kodtsznma1jgfhey2trlm ; 
2017-04-03 03:48:48 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Sending OTP - Failure ; SessionId : d44kodtsznma1jgfhey2trlm ; 
2017-04-03 03:48:48 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : d44kodtsznma1jgfhey2trlm ; 
2017-04-03 03:50:17 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : d44kodtsznma1jgfhey2trlm ; 
2017-04-03 03:50:17 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user exist - success ; SessionId : d44kodtsznma1jgfhey2trlm ; 
2017-04-03 03:50:17 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : d44kodtsznma1jgfhey2trlm ; 
2017-04-03 03:50:17 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : d44kodtsznma1jgfhey2trlm ; 
2017-04-03 03:50:17 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - entry ; SessionId : d44kodtsznma1jgfhey2trlm ; 
2017-04-03 03:50:17 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - success ; SessionId : d44kodtsznma1jgfhey2trlm ; 
2017-04-03 03:50:17 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account lock in ART tool - entry ; SessionId : d44kodtsznma1jgfhey2trlm ; 
2017-04-03 03:50:17 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : d44kodtsznma1jgfhey2trlm ; 
2017-04-03 03:50:17 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user OTP enabled - entry ; SessionId : d44kodtsznma1jgfhey2trlm ; 
2017-04-03 03:50:18 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user OTP enabled - OTP enabled - for both user and application level , now redirecting to ResetPasswordAuthType ; SessionId : d44kodtsznma1jgfhey2trlm ; 
2017-04-03 03:50:18 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_AuthType ; TrStatus : Page load ; SessionId : d44kodtsznma1jgfhey2trlm ; 
2017-04-03 03:50:21 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_AuthSecQue ; TrStatus : Page load , now redirecting to ResetPasswordQuestions ; SessionId : d44kodtsznma1jgfhey2trlm ; 
2017-04-03 03:50:22 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_QA ; TrStatus : Reset Password Questions page load ; SessionId : d44kodtsznma1jgfhey2trlm ; 
2017-04-03 03:51:46 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : d44kodtsznma1jgfhey2trlm ; 
2017-04-03 03:51:46 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user exist - success ; SessionId : d44kodtsznma1jgfhey2trlm ; 
2017-04-03 03:51:46 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : d44kodtsznma1jgfhey2trlm ; 
2017-04-03 03:51:46 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : d44kodtsznma1jgfhey2trlm ; 
2017-04-03 03:51:46 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - entry ; SessionId : d44kodtsznma1jgfhey2trlm ; 
2017-04-03 03:51:47 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - success ; SessionId : d44kodtsznma1jgfhey2trlm ; 
2017-04-03 03:51:47 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account lock in ART tool - entry ; SessionId : d44kodtsznma1jgfhey2trlm ; 
2017-04-03 03:51:47 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : d44kodtsznma1jgfhey2trlm ; 
2017-04-03 03:51:47 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user OTP enabled - entry ; SessionId : d44kodtsznma1jgfhey2trlm ; 
