2017-04-04 11:02:53 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : ehohmftzyymrgwdtsi0mu1im ; 
2017-04-04 11:02:54 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : ehohmftzyymrgwdtsi0mu1im ; 
2017-04-04 11:02:55 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : ehohmftzyymrgwdtsi0mu1im ; 
2017-04-04 11:03:54 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : ehohmftzyymrgwdtsi0mu1im ; 
2017-04-04 11:03:54 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : ehohmftzyymrgwdtsi0mu1im ; 
2017-04-04 11:05:18 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Submit - Validate user otp ; SessionId : ehohmftzyymrgwdtsi0mu1im ; 
2017-04-04 11:05:30 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : valid OTP, now redirecting to reset password ; SessionId : ehohmftzyymrgwdtsi0mu1im ; 
2017-04-04 11:05:42 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User mobile number updated in AD ; SessionId : ehohmftzyymrgwdtsi0mu1im ; 
2017-04-04 11:05:43 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : ehohmftzyymrgwdtsi0mu1im ; 
2017-04-04 11:05:56 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : DOB Validation - Failure ; SessionId : ehohmftzyymrgwdtsi0mu1im ; 
2017-04-04 11:05:57 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : ehohmftzyymrgwdtsi0mu1im ; 
2017-04-04 11:59:04 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : ehohmftzyymrgwdtsi0mu1im ; 
2017-04-04 11:59:04 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : ehohmftzyymrgwdtsi0mu1im ; 
2017-04-04 11:59:05 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : ehohmftzyymrgwdtsi0mu1im ; 
2017-04-04 11:59:12 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : ehohmftzyymrgwdtsi0mu1im ; 
2017-04-04 12:06:09 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : ehohmftzyymrgwdtsi0mu1im ; 
2017-04-04 12:06:09 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : ehohmftzyymrgwdtsi0mu1im ; 
2017-04-04 12:06:09 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : ehohmftzyymrgwdtsi0mu1im ; 
2017-04-04 12:10:50 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : ehohmftzyymrgwdtsi0mu1im ; 
2017-04-04 12:20:55 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : ehohmftzyymrgwdtsi0mu1im ; 
2017-04-04 04:16:06 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 04:16:08 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 04:16:09 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 04:16:51 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 04:24:13 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 04:24:13 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 04:24:14 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 04:24:34 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 04:39:02 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 04:39:04 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 04:39:05 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 04:39:11 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 04:50:47 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 04:50:47 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 04:50:54 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 04:51:37 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 04:51:58 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 04:52:12 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 04:53:03 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 04:55:11 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 04:56:00 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 04:56:17 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 04:56:44 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 05:00:48 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Sending OTP - Failure ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
2017-04-04 05:01:07 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 0cvrsauhcxkxckpimbdcsi1t ; 
