2017-04-21 09:48:41 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 09:48:41 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 09:48:42 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 09:49:12 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 09:49:12 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 09:49:33 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Submit - Validate user otp ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 09:50:01 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : valid OTP, now redirecting to reset password ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 09:50:25 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Mobile Number is Private ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 09:50:26 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 09:52:41 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 09:52:41 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 09:52:42 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 09:53:07 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 09:53:09 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 09:59:42 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 09:59:42 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 09:59:43 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 10:00:07 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 10:00:08 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 10:02:37 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 10:02:37 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 10:02:44 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 10:10:04 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 10:10:10 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 10:13:28 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 10:13:28 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 10:13:30 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 10:27:13 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 10:27:16 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 10:29:17 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 10:29:56 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 10:30:07 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 10:30:27 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Submit - Validate user otp ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 10:30:36 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : valid OTP, now redirecting to reset password ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 10:30:41 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Mobile Number is Private ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 10:30:44 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 10:49:16 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 10:49:16 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 10:49:18 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 12:05:22 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 12:05:23 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user exist - success ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 12:05:23 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 12:05:23 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 12:05:23 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - entry ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 12:05:23 => UserID : 34501 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user registered - failure ; SessionId : g4deeszbtdorpatp24zy2xia ; 
2017-04-21 12:05:33 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : g4deeszbtdorpatp24zy2xia ; 
