2017-04-25 04:16:44 => UserID : 32601 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : 0523rbldvbcwjutssdrcz0yo ; 
2017-04-25 04:16:44 => UserID : 32601 ; Message : CHANGE_PASSWORD ; TrStatus : OTPValidation - Success ; SessionId : 0523rbldvbcwjutssdrcz0yo ; 
2017-04-25 04:16:45 => UserID : 32601 ; Message : CHANGE_PASSWORD ; TrStatus : Change Password - Success ; SessionId : 0523rbldvbcwjutssdrcz0yo ; 
2017-04-25 04:16:55 => UserID : 32601 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - START ; SessionId : 0523rbldvbcwjutssdrcz0yo ; 
2017-04-25 04:17:16 => UserID : 32601 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - END ; SessionId : 0523rbldvbcwjutssdrcz0yo ; 
2017-04-25 04:39:03 => UserID : 32601 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : ukabwz3qmvky20k14js5c4bx ; 
2017-04-25 04:39:03 => UserID : 32601 ; Message : UserEnroll :: Login ; TrStatus : InValid login ; SessionId : ukabwz3qmvky20k14js5c4bx ; 
2017-04-25 04:39:04 => UserID : 32601 ; Message : UserEnroll :: Login ; TrStatus : Account locked ; SessionId : ukabwz3qmvky20k14js5c4bx ; 
2017-04-25 04:39:12 => UserID : 32601 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : Submit - check user exist - ENTRY ; SessionId : ukabwz3qmvky20k14js5c4bx ; 
2017-04-25 04:39:12 => UserID : 32601 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user exist - EXIST ; SessionId : ukabwz3qmvky20k14js5c4bx ; 
2017-04-25 04:39:12 => UserID : 32601 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user account is locked - ENTRY ; SessionId : ukabwz3qmvky20k14js5c4bx ; 
2017-04-25 04:39:12 => UserID : 32601 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user account is locked - LOCKED ; SessionId : ukabwz3qmvky20k14js5c4bx ; 
2017-04-25 04:39:12 => UserID : 32601 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user registered - ENTRY ; SessionId : ukabwz3qmvky20k14js5c4bx ; 
2017-04-25 04:39:12 => UserID : 32601 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user registered - REGISTERED ; SessionId : ukabwz3qmvky20k14js5c4bx ; 
2017-04-25 04:39:12 => UserID : 32601 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user account lock in ART tool - ENTRY ; SessionId : ukabwz3qmvky20k14js5c4bx ; 
2017-04-25 04:39:12 => UserID : 32601 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : ukabwz3qmvky20k14js5c4bx ; 
2017-04-25 04:39:12 => UserID : 32601 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user OTP enabled - OTP ENABLED - for both user and application level , now redirecting to AccountUnlockAuthType ; SessionId : ukabwz3qmvky20k14js5c4bx ; 
2017-04-25 04:39:12 => UserID : 32601 ; Message : UnlockAccount :: Unlock_Account_AuthType ; TrStatus : Page load ; SessionId : ukabwz3qmvky20k14js5c4bx ; 
2017-04-25 04:39:16 => UserID : 32601 ; Message : UnlockAccount :: Unlock_Account_AuthSecQue ; TrStatus : Page load , now redirecting to AccountUnlockQuestions ; SessionId : ukabwz3qmvky20k14js5c4bx ; 
2017-04-25 04:39:21 => UserID : 32601 ; Message : UnlockAccount :: Unlock_Account ; TrStatus : SUBMIT ; SessionId : ukabwz3qmvky20k14js5c4bx ; 
2017-04-25 04:39:21 => UserID : 32601 ; Message : UnlockAccount :: Unlock_Account ; TrStatus : Account Unlocked ; SessionId : ukabwz3qmvky20k14js5c4bx ; 
2017-04-25 04:39:22 => UserID : 32601 ; Message : UnlockAccount :: Unlock_Account ; TrStatus : Create SNOW ITSM incident - START ; SessionId : ukabwz3qmvky20k14js5c4bx ; 
2017-04-25 04:39:23 => UserID : 32601 ; Message : UnlockAccount :: Unlock_Account ; TrStatus : Create SNOW ITSM incident - END ; SessionId : ukabwz3qmvky20k14js5c4bx ; 
2017-04-25 04:41:00 => UserID : 32601 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : ukabwz3qmvky20k14js5c4bx ; 
2017-04-25 04:41:00 => UserID : 32601 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : ukabwz3qmvky20k14js5c4bx ; 
2017-04-25 04:41:01 => UserID : 32601 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : ukabwz3qmvky20k14js5c4bx ; 
2017-04-25 04:42:46 => UserID : 32601 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : ukabwz3qmvky20k14js5c4bx ; 
2017-04-25 04:42:47 => UserID : 32601 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : ukabwz3qmvky20k14js5c4bx ; 
2017-04-25 04:43:12 => UserID : 32601 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Submit - Validate user otp ; SessionId : ukabwz3qmvky20k14js5c4bx ; 
2017-04-25 04:43:15 => UserID : 32601 ; Message : UserEnroll :: Register_User_Info ; TrStatus : valid OTP, now redirecting to reset password ; SessionId : ukabwz3qmvky20k14js5c4bx ; 
2017-04-25 04:43:27 => UserID : 32601 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User mobile number updated in AD ; SessionId : ukabwz3qmvky20k14js5c4bx ; 
2017-04-25 04:43:41 => UserID : 32601 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : ukabwz3qmvky20k14js5c4bx ; 
