2017-04-27 10:07:59 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 10:08:00 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Name / Password Validation - Failure ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 10:11:36 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 10:11:36 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : OTPValidation - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 10:11:37 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Change Password - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 10:11:41 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - START ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 10:14:10 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 10:14:10 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : OTPValidation - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 10:14:11 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Change Password - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 10:14:15 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - START ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 10:34:12 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 10:34:12 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : OTPValidation - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 10:34:13 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Change Password - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 10:34:20 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - START ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 10:39:38 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - END ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 10:48:48 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 10:48:49 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Name / Password Validation - Failure ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 10:51:10 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 10:51:10 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Name / Password Validation - Failure ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 10:52:20 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 10:52:20 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : OTPValidation - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 10:52:21 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Change Password - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 10:52:26 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - START ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 10:53:47 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - END ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 11:03:52 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 11:03:52 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : OTPValidation - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 11:03:52 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Change Password - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 11:04:01 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - START ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 11:05:15 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - END ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 11:38:19 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 11:38:19 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Name / Password Validation - Failure ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 11:40:38 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 11:40:38 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : OTPValidation - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 11:40:39 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Change Password - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 11:40:41 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - START ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 11:40:56 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - END ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 11:46:44 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 11:46:44 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : OTPValidation - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
