2017-09-07 02:38:36 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : try35zgmgxxli4ezauh54g5b ; 
2017-09-07 02:38:36 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user exist - success ; SessionId : try35zgmgxxli4ezauh54g5b ; 
2017-09-07 02:38:36 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : try35zgmgxxli4ezauh54g5b ; 
2017-09-07 02:38:37 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : try35zgmgxxli4ezauh54g5b ; 
2017-09-07 02:38:37 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user registered - entry ; SessionId : try35zgmgxxli4ezauh54g5b ; 
2017-09-07 02:38:37 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user registered - success ; SessionId : try35zgmgxxli4ezauh54g5b ; 
2017-09-07 02:38:37 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account lock in ART tool - entry ; SessionId : try35zgmgxxli4ezauh54g5b ; 
2017-09-07 02:38:37 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : try35zgmgxxli4ezauh54g5b ; 
2017-09-07 02:38:37 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user OTP enabled - entry ; SessionId : try35zgmgxxli4ezauh54g5b ; 
2017-09-07 02:38:37 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user OTP enabled - OTP enabled - for both user and application level , now redirecting to ResetPasswordAuthType ; SessionId : try35zgmgxxli4ezauh54g5b ; 
2017-09-07 02:38:37 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_AuthType ; TrStatus : Page load ; SessionId : try35zgmgxxli4ezauh54g5b ; 
2017-09-07 02:38:39 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_AuthSecQue ; TrStatus : Page load , now redirecting to ResetPasswordQuestions ; SessionId : try35zgmgxxli4ezauh54g5b ; 
2017-09-07 02:38:39 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Reset Password Questions page load ; SessionId : try35zgmgxxli4ezauh54g5b ; 
2017-09-07 02:38:43 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Reset Password Questions submit ; SessionId : try35zgmgxxli4ezauh54g5b ; 
