2017-09-11 09:36:14 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : 3qkoak4431nnp1c5va1a0xyy ; 
2017-09-11 09:36:15 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : 3qkoak4431nnp1c5va1a0xyy ; 
2017-09-11 09:36:19 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 3qkoak4431nnp1c5va1a0xyy ; 
2017-09-11 09:40:59 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Sending OTP - Failure ; SessionId : 3qkoak4431nnp1c5va1a0xyy ; 
2017-09-11 09:41:00 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 3qkoak4431nnp1c5va1a0xyy ; 
2017-09-11 09:41:33 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 3qkoak4431nnp1c5va1a0xyy ; 
2017-09-11 09:43:19 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : 3ltnjjlhtc05h04rlk3lyqei ; 
2017-09-11 09:43:19 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : 3ltnjjlhtc05h04rlk3lyqei ; 
2017-09-11 09:43:27 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 3ltnjjlhtc05h04rlk3lyqei ; 
2017-09-11 09:43:46 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 3ltnjjlhtc05h04rlk3lyqei ; 
2017-09-11 09:44:30 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Sending OTP - Failure ; SessionId : 3ltnjjlhtc05h04rlk3lyqei ; 
2017-09-11 09:44:33 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 3ltnjjlhtc05h04rlk3lyqei ; 
2017-09-11 09:52:02 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Sending OTP - Failure ; SessionId : 3ltnjjlhtc05h04rlk3lyqei ; 
2017-09-11 09:52:18 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 3ltnjjlhtc05h04rlk3lyqei ; 
2017-09-11 09:58:42 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : 3ltnjjlhtc05h04rlk3lyqei ; 
2017-09-11 09:59:02 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : d4hdmadiuul2sqyylbbxtsw0 ; 
2017-09-11 09:59:03 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : d4hdmadiuul2sqyylbbxtsw0 ; 
2017-09-11 09:59:05 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : d4hdmadiuul2sqyylbbxtsw0 ; 
2017-09-11 10:11:35 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : wtstn40oz1tnpqj13l4nslxk ; 
2017-09-11 10:11:36 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : wtstn40oz1tnpqj13l4nslxk ; 
2017-09-11 10:17:08 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : vmualxm5gycrvxsmpahgsufw ; 
2017-09-11 10:17:08 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : vmualxm5gycrvxsmpahgsufw ; 
2017-09-11 10:17:11 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : vmualxm5gycrvxsmpahgsufw ; 
2017-09-11 10:34:35 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 10:34:35 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 10:34:39 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 10:37:36 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 10:37:37 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 10:48:47 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : RESEND :: OTP sent , now redirecting to RegisterUserInformation ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 10:48:53 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 10:51:02 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Submit - Validate user otp ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 10:51:02 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : valid OTP, now redirecting to reset password ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 10:51:03 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User mobile number updated in AD ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 10:51:04 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 11:28:42 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 11:28:42 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 11:28:45 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 11:29:46 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 11:29:48 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 11:33:02 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 11:33:53 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 11:38:36 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 11:42:37 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 11:43:45 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 11:43:56 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 11:44:16 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 11:44:36 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 11:44:38 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 11:45:10 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Submit - Validate user otp ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 11:47:09 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : valid OTP, now redirecting to reset password ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 11:47:36 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User mobile number updated in AD ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 11:47:38 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 11:52:22 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 11:57:32 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 11:58:08 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 11:58:10 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 11:59:06 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Submit - Validate user otp ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 11:59:08 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : valid OTP, now redirecting to reset password ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 11:59:54 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User mobile number updated in AD ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 12:00:10 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 12:00:15 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : zqncsepibcno4hwrmzo0xc51 ; 
2017-09-11 12:37:04 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : owl134qzkyzpbb2tv1n3rasx ; 
2017-09-11 12:37:05 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : owl134qzkyzpbb2tv1n3rasx ; 
2017-09-11 12:37:09 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : owl134qzkyzpbb2tv1n3rasx ; 
2017-09-11 12:37:39 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : owl134qzkyzpbb2tv1n3rasx ; 
2017-09-11 12:38:51 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : owl134qzkyzpbb2tv1n3rasx ; 
2017-09-11 12:38:58 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : owl134qzkyzpbb2tv1n3rasx ; 
2017-09-11 12:40:01 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Submit - Validate user otp ; SessionId : owl134qzkyzpbb2tv1n3rasx ; 
2017-09-11 12:40:06 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : valid OTP, now redirecting to reset password ; SessionId : owl134qzkyzpbb2tv1n3rasx ; 
2017-09-11 01:46:57 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User mobile number updated in AD ; SessionId : owl134qzkyzpbb2tv1n3rasx ; 
2017-09-11 01:47:14 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : owl134qzkyzpbb2tv1n3rasx ; 
2017-09-11 01:47:15 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : owl134qzkyzpbb2tv1n3rasx ; 
2017-09-11 01:48:51 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : owl134qzkyzpbb2tv1n3rasx ; 
2017-09-11 01:49:11 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : DOB Validation - Failure ; SessionId : owl134qzkyzpbb2tv1n3rasx ; 
2017-09-11 01:49:13 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : owl134qzkyzpbb2tv1n3rasx ; 
2017-09-11 01:49:29 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : owl134qzkyzpbb2tv1n3rasx ; 
2017-09-11 01:50:58 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : owl134qzkyzpbb2tv1n3rasx ; 
2017-09-11 01:51:01 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : owl134qzkyzpbb2tv1n3rasx ; 
2017-09-11 01:51:29 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Submit - Validate user otp ; SessionId : owl134qzkyzpbb2tv1n3rasx ; 
2017-09-11 01:51:30 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : valid OTP, now redirecting to reset password ; SessionId : owl134qzkyzpbb2tv1n3rasx ; 
