2017-09-13 08:52:49 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Please enter answer for all the questions ; SessionId : aulklbzk043jvx3qoqujoaed ; 
2017-09-13 08:58:15 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : k23133ngxfr1cl55zctjqeu0 ; 
2017-09-13 08:59:53 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : k23133ngxfr1cl55zctjqeu0 ; 
2017-09-13 09:02:23 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : k23133ngxfr1cl55zctjqeu0 ; 
2017-09-13 09:03:03 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : k23133ngxfr1cl55zctjqeu0 ; 
2017-09-13 09:03:51 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : k23133ngxfr1cl55zctjqeu0 ; 
2017-09-13 09:04:36 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : k23133ngxfr1cl55zctjqeu0 ; 
2017-09-13 09:06:48 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : k23133ngxfr1cl55zctjqeu0 ; 
2017-09-13 09:08:13 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : k23133ngxfr1cl55zctjqeu0 ; 
2017-09-13 09:09:01 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : k23133ngxfr1cl55zctjqeu0 ; 
2017-09-13 09:09:24 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : k23133ngxfr1cl55zctjqeu0 ; 
2017-09-13 09:14:14 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : qm1q5asioxarxlqb0zdcqqzq ; 
2017-09-13 09:15:28 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : qm1q5asioxarxlqb0zdcqqzq ; 
2017-09-13 09:19:38 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : qm1q5asioxarxlqb0zdcqqzq ; 
2017-09-13 09:20:25 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : qm1q5asioxarxlqb0zdcqqzq ; 
2017-09-13 09:21:31 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : qm1q5asioxarxlqb0zdcqqzq ; 
2017-09-13 09:21:52 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : qm1q5asioxarxlqb0zdcqqzq ; 
2017-09-13 09:22:20 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : qm1q5asioxarxlqb0zdcqqzq ; 
2017-09-13 09:23:48 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : qm1q5asioxarxlqb0zdcqqzq ; 
2017-09-13 09:24:24 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : qm1q5asioxarxlqb0zdcqqzq ; 
2017-09-13 09:24:54 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : qm1q5asioxarxlqb0zdcqqzq ; 
2017-09-13 09:25:35 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : qm1q5asioxarxlqb0zdcqqzq ; 
