2017-09-15 02:47:12 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : mokfla2xly0s10tvmg5a52tc ; 
2017-09-15 02:48:12 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : mokfla2xly0s10tvmg5a52tc ; 
2017-09-15 02:48:31 => UserID : 38098 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : mokfla2xly0s10tvmg5a52tc ; 
2017-09-15 02:48:51 => UserID : 38098 ; Message : UserEnroll :: Register ; TrStatus : Success ; SessionId : mokfla2xly0s10tvmg5a52tc ; 
2017-09-15 02:48:51 => UserID : 38098 ; Message : UserEnroll :: Register ; TrStatus : Enrollment Link Status Updated Successfully ; SessionId : mokfla2xly0s10tvmg5a52tc ; 
2017-09-15 02:48:51 => UserID : 38098 ; Message : UserEnroll :: Register ; TrStatus : Register User in ART - Success ; SessionId : mokfla2xly0s10tvmg5a52tc ; 
2017-09-15 02:48:52 => UserID : 38098 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : mokfla2xly0s10tvmg5a52tc ; 
2017-09-15 02:52:17 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : wuw0iaemwdktzfiu3ab5kvs4 ; 
2017-09-15 02:52:51 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : wuw0iaemwdktzfiu3ab5kvs4 ; 
2017-09-15 02:52:51 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : wuw0iaemwdktzfiu3ab5kvs4 ; 
2017-09-15 02:54:55 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : wuw0iaemwdktzfiu3ab5kvs4 ; 
2017-09-15 02:55:01 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : wuw0iaemwdktzfiu3ab5kvs4 ; 
2017-09-15 03:02:14 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : wuw0iaemwdktzfiu3ab5kvs4 ; 
2017-09-15 03:02:18 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : wuw0iaemwdktzfiu3ab5kvs4 ; 
2017-09-15 03:02:39 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : wuw0iaemwdktzfiu3ab5kvs4 ; 
2017-09-15 03:02:53 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : wuw0iaemwdktzfiu3ab5kvs4 ; 
2017-09-15 03:03:00 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : wuw0iaemwdktzfiu3ab5kvs4 ; 
2017-09-15 03:03:06 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : wuw0iaemwdktzfiu3ab5kvs4 ; 
2017-09-15 03:03:09 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : wuw0iaemwdktzfiu3ab5kvs4 ; 
2017-09-15 03:05:54 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : wuw0iaemwdktzfiu3ab5kvs4 ; 
2017-09-15 03:05:56 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : wuw0iaemwdktzfiu3ab5kvs4 ; 
2017-09-15 03:06:09 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : wuw0iaemwdktzfiu3ab5kvs4 ; 
2017-09-15 03:55:58 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : d2edznjhwdcaly5ttaftf3hr ; 
2017-09-15 03:56:23 => UserID : 38098 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : d2edznjhwdcaly5ttaftf3hr ; 
2017-09-15 03:56:31 => UserID : 38098 ; Message : UserEnroll :: Register ; TrStatus : Success ; SessionId : d2edznjhwdcaly5ttaftf3hr ; 
2017-09-15 03:56:32 => UserID : 38098 ; Message : UserEnroll :: Register ; TrStatus : Enrollment Link Status Updated Successfully ; SessionId : d2edznjhwdcaly5ttaftf3hr ; 
2017-09-15 03:56:32 => UserID : 38098 ; Message : UserEnroll :: Register ; TrStatus : Register User in ART - Success ; SessionId : d2edznjhwdcaly5ttaftf3hr ; 
2017-09-15 03:56:32 => UserID : 38098 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : d2edznjhwdcaly5ttaftf3hr ; 
2017-09-15 04:50:29 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : wdlhek4ndox00gy4rhzzv3xi ; 
