2017-09-19 10:36:38 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : th3rtkvjqjfjjkl3mlhknfws ; 
2017-09-19 10:36:46 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : th3rtkvjqjfjjkl3mlhknfws ; 
2017-09-19 10:36:51 => UserID : 34243 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : th3rtkvjqjfjjkl3mlhknfws ; 
2017-09-19 10:37:00 => UserID : 34243 ; Message : UserEnroll :: Register ; TrStatus : Success ; SessionId : th3rtkvjqjfjjkl3mlhknfws ; 
2017-09-19 10:37:02 => UserID : 34243 ; Message : UserEnroll :: Register ; TrStatus : Enrollment Link Status Updated Successfully ; SessionId : th3rtkvjqjfjjkl3mlhknfws ; 
2017-09-19 10:37:02 => UserID : 34243 ; Message : UserEnroll :: Register ; TrStatus : Register User in ART - Success ; SessionId : th3rtkvjqjfjjkl3mlhknfws ; 
2017-09-19 10:37:03 => UserID : 34243 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : th3rtkvjqjfjjkl3mlhknfws ; 
2017-09-19 11:04:51 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : gei3aestg5upevqb1db25hhd ; 
2017-09-19 11:14:05 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : vfrytj2qybyqgqceguk3rfr5 ; 
2017-09-19 11:17:01 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : qk5avigdujgj3qdpahdrlxir ; 
2017-09-19 11:17:11 => UserID : 34243 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : qk5avigdujgj3qdpahdrlxir ; 
2017-09-19 11:17:37 => UserID : 34243 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : qk5avigdujgj3qdpahdrlxir ; 
2017-09-19 11:17:46 => UserID : 34243 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : qk5avigdujgj3qdpahdrlxir ; 
2017-09-19 11:18:06 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : yupwsj2e1esqosoimrucgqh0 ; 
2017-09-19 11:18:47 => UserID : 34243 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : yupwsj2e1esqosoimrucgqh0 ; 
2017-09-19 11:19:24 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : pxzddtnijslco1ver0edw4nx ; 
2017-09-19 11:30:45 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : pxzddtnijslco1ver0edw4nx ; 
2017-09-19 11:31:56 => UserID : 34243 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : pxzddtnijslco1ver0edw4nx ; 
2017-09-19 11:33:42 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : d4dnr31ftj3se1ceazlfzcav ; 
2017-09-19 11:39:57 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : wzs342thjlnhrabe2kqj11b5 ; 
2017-09-19 11:40:34 => UserID : 34243 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : wzs342thjlnhrabe2kqj11b5 ; 
2017-09-19 11:41:41 => UserID : 34243 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : wzs342thjlnhrabe2kqj11b5 ; 
2017-09-19 11:42:05 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 5qj1t1uj4vwn5e1xvpli4p3g ; 
2017-09-19 11:42:15 => UserID : 34243 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 5qj1t1uj4vwn5e1xvpli4p3g ; 
2017-09-19 12:44:18 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : i1daug2dncpav1l0hht5t3uk ; 
2017-09-19 12:44:23 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : i1daug2dncpav1l0hht5t3uk ; 
2017-09-19 12:44:28 => UserID : 34243 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : i1daug2dncpav1l0hht5t3uk ; 
2017-09-19 12:46:49 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : minl0xy4lyd2qflhx14hau2y ; 
2017-09-19 12:47:14 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : minl0xy4lyd2qflhx14hau2y ; 
2017-09-19 12:47:49 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : minl0xy4lyd2qflhx14hau2y ; 
2017-09-19 12:48:22 => UserID : 34243 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : minl0xy4lyd2qflhx14hau2y ; 
2017-09-19 12:48:32 => UserID : 34243 ; Message : UserEnroll :: Register ; TrStatus : Success ; SessionId : minl0xy4lyd2qflhx14hau2y ; 
2017-09-19 12:48:33 => UserID : 34243 ; Message : UserEnroll :: Register ; TrStatus : Enrollment Link Status Updated Successfully ; SessionId : minl0xy4lyd2qflhx14hau2y ; 
2017-09-19 12:48:33 => UserID : 34243 ; Message : UserEnroll :: Register ; TrStatus : Register User in ART - Success ; SessionId : minl0xy4lyd2qflhx14hau2y ; 
2017-09-19 12:48:33 => UserID : 34243 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : minl0xy4lyd2qflhx14hau2y ; 
