2017-09-20 11:55:01 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : sj3vju1i224woc5w2twwdgck ; 
2017-09-20 11:55:08 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : sj3vju1i224woc5w2twwdgck ; 
2017-09-20 11:55:13 => UserID : 27448 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : sj3vju1i224woc5w2twwdgck ; 
2017-09-20 11:55:35 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : hg1pghk3lxhlat2dz1nni1rl ; 
2017-09-20 11:55:42 => UserID : 27448 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : hg1pghk3lxhlat2dz1nni1rl ; 
2017-09-20 11:55:51 => UserID : 27448 ; Message : UserEnroll :: Register ; TrStatus : Success ; SessionId : hg1pghk3lxhlat2dz1nni1rl ; 
2017-09-20 11:55:51 => UserID : 27448 ; Message : UserEnroll :: Register ; TrStatus : Enrollment Link Status Updated Successfully ; SessionId : hg1pghk3lxhlat2dz1nni1rl ; 
2017-09-20 11:55:51 => UserID : 27448 ; Message : UserEnroll :: Register ; TrStatus : Register User in ART - Success ; SessionId : hg1pghk3lxhlat2dz1nni1rl ; 
2017-09-20 11:55:51 => UserID : 27448 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : hg1pghk3lxhlat2dz1nni1rl ; 
2017-09-20 12:05:03 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : oq4q4amn44kb40alicem4gwn ; 
2017-09-20 12:05:12 => UserID : 27448 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : oq4q4amn44kb40alicem4gwn ; 
2017-09-20 12:05:23 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : dn4duhfeoiutk52hryz4bd0y ; 
2017-09-20 12:06:32 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : dn4duhfeoiutk52hryz4bd0y ; 
2017-09-20 12:06:37 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : dn4duhfeoiutk52hryz4bd0y ; 
2017-09-20 12:06:51 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : dn4duhfeoiutk52hryz4bd0y ; 
2017-09-20 12:07:26 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : dn4duhfeoiutk52hryz4bd0y ; 
2017-09-20 12:07:53 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : dn4duhfeoiutk52hryz4bd0y ; 
