2017-09-26 07:15:21 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : ey0lnbyencadkhyjvdpbsbur ; 
2017-09-26 07:21:09 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : ey0lnbyencadkhyjvdpbsbur ; 
2017-09-26 07:21:46 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : ffnnnmjjxeeifzmz4wrvukcr ; 
2017-09-26 07:21:58 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : ffnnnmjjxeeifzmz4wrvukcr ; 
2017-09-26 07:22:05 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : ffnnnmjjxeeifzmz4wrvukcr ; 
2017-09-26 07:26:43 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : gdqonaok32i04l2ikfkwvpnr ; 
2017-09-26 07:26:45 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : InValid login ; SessionId : gdqonaok32i04l2ikfkwvpnr ; 
2017-09-26 07:26:45 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Account not locked ; SessionId : gdqonaok32i04l2ikfkwvpnr ; 
2017-09-26 07:28:38 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : gdqonaok32i04l2ikfkwvpnr ; 
2017-09-26 07:28:39 => UserID : 34501 ; Message : User_Register ; TrStatus : account is locked ; SessionId : gdqonaok32i04l2ikfkwvpnr ; 
2017-09-26 07:28:57 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : lkhqsw01wmzwr1ksogftpgsi ; 
2017-09-26 07:28:58 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : check user account lock in ART tool - success - account is locked ; SessionId : lkhqsw01wmzwr1ksogftpgsi ; 
2017-09-26 07:29:19 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : Submit - check user exist - ENTRY ; SessionId : datytlk5kfidcairg4g4f3h0 ; 
2017-09-26 07:29:19 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user exist - EXIST ; SessionId : datytlk5kfidcairg4g4f3h0 ; 
2017-09-26 07:29:19 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user account is locked - ENTRY ; SessionId : datytlk5kfidcairg4g4f3h0 ; 
2017-09-26 07:29:19 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user account is locked - NOT LOCKED ; SessionId : datytlk5kfidcairg4g4f3h0 ; 
2017-09-26 07:29:42 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : jrvlzzrs4qmlkjykwt31ms42 ; 
2017-09-26 07:29:59 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : check user account lock in ART tool - success - account is locked ; SessionId : jrvlzzrs4qmlkjykwt31ms42 ; 
2017-09-26 07:30:53 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : Submit - check user exist - ENTRY ; SessionId : fjy2wmppynnv41bzgvkkyb2k ; 
2017-09-26 07:30:54 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user exist - EXIST ; SessionId : fjy2wmppynnv41bzgvkkyb2k ; 
2017-09-26 07:30:54 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user account is locked - ENTRY ; SessionId : fjy2wmppynnv41bzgvkkyb2k ; 
2017-09-26 07:30:54 => UserID : 34501 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user account is locked - NOT LOCKED ; SessionId : fjy2wmppynnv41bzgvkkyb2k ; 
2017-09-26 07:32:12 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : nugq5hh5tcohilgmjqorkdup ; 
2017-09-26 07:36:43 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : InValid login ; SessionId : nugq5hh5tcohilgmjqorkdup ; 
2017-09-26 07:36:44 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Account not locked ; SessionId : nugq5hh5tcohilgmjqorkdup ; 
2017-09-26 07:37:02 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : nugq5hh5tcohilgmjqorkdup ; 
2017-09-26 07:37:03 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : InValid login ; SessionId : nugq5hh5tcohilgmjqorkdup ; 
2017-09-26 07:37:03 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Account not locked ; SessionId : nugq5hh5tcohilgmjqorkdup ; 
2017-09-26 07:37:24 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : nugq5hh5tcohilgmjqorkdup ; 
2017-09-26 07:38:14 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : nugq5hh5tcohilgmjqorkdup ; 
2017-09-26 07:38:17 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : nugq5hh5tcohilgmjqorkdup ; 
2017-09-26 07:38:48 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : nsr4pmuvda0d0e32crbp5tya ; 
