2017-10-03 12:05:29 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : x503i5yt054145ybeaqvdsaw ; 
2017-10-03 12:26:27 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : xmyhcy25ye1clzhf20o53mqh ; 
2017-10-03 12:35:42 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : xmyhcy25ye1clzhf20o53mqh ; 
2017-10-03 12:38:28 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : xmyhcy25ye1clzhf20o53mqh ; 
2017-10-03 03:28:15 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : tumdaokv20f5ii3xhpgddmwn ; 
2017-10-03 03:29:08 => UserID : 38098 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : tumdaokv20f5ii3xhpgddmwn ; 
2017-10-03 03:30:39 => UserID : 38098 ; Message : UserEnroll :: Register ; TrStatus : Success ; SessionId : tumdaokv20f5ii3xhpgddmwn ; 
2017-10-03 03:30:41 => UserID : 38098 ; Message : UserEnroll :: Register ; TrStatus : Enrollment Link Status Updated Successfully ; SessionId : tumdaokv20f5ii3xhpgddmwn ; 
2017-10-03 03:30:41 => UserID : 38098 ; Message : UserEnroll :: Register ; TrStatus : Register User in ART - Success ; SessionId : tumdaokv20f5ii3xhpgddmwn ; 
2017-10-03 03:30:43 => UserID : 38098 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : tumdaokv20f5ii3xhpgddmwn ; 
2017-10-03 03:31:04 => UserID : 38098 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : adns4i3zwfvnbrhaam24nxo1 ; 
2017-10-03 03:31:06 => UserID : 38098 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : adns4i3zwfvnbrhaam24nxo1 ; 
2017-10-03 03:31:07 => UserID : 38098 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : adns4i3zwfvnbrhaam24nxo1 ; 
2017-10-03 03:31:28 => UserID : 38098 ; Message : UserEnroll :: Register_User_Info ; TrStatus : DOB Validation - Failure ; SessionId : adns4i3zwfvnbrhaam24nxo1 ; 
2017-10-03 03:31:29 => UserID : 38098 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : adns4i3zwfvnbrhaam24nxo1 ; 
2017-10-03 03:31:52 => UserID : 38098 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : gyldcpnquv3nj1bt00fiawfq ; 
2017-10-03 03:31:52 => UserID : 38098 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user exist - success ; SessionId : gyldcpnquv3nj1bt00fiawfq ; 
2017-10-03 03:31:52 => UserID : 38098 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : gyldcpnquv3nj1bt00fiawfq ; 
