2017-11-02 11:50:24 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : 1bv3zx3jjyd4y5s3uys2koos ; 
2017-11-02 11:51:26 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : InValid login ; SessionId : 1bv3zx3jjyd4y5s3uys2koos ; 
2017-11-02 11:51:26 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Account not locked ; SessionId : 1bv3zx3jjyd4y5s3uys2koos ; 
2017-11-02 11:53:38 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : rrd3alc2im42cdc4mkfbxsvz ; 
2017-11-02 12:06:15 => UserID : 31752 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : udirmwhcihmtrwhegimt43ec ; 
2017-11-02 12:08:56 => UserID : 31752 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : rueyidacwbufm32yvrcs21qy ; 
2017-11-02 12:10:42 => UserID : 31752 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : f2u5gz1tq4wgujezg0zty2tr ; 
2017-11-02 12:10:49 => UserID : 31752 ; Message : UserEnroll :: Login ; TrStatus : InValid login ; SessionId : f2u5gz1tq4wgujezg0zty2tr ; 
2017-11-02 12:10:49 => UserID : 31752 ; Message : UserEnroll :: Login ; TrStatus : Account not locked ; SessionId : f2u5gz1tq4wgujezg0zty2tr ; 
2017-11-02 12:11:03 => UserID : 31752 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : f2u5gz1tq4wgujezg0zty2tr ; 
2017-11-02 12:11:46 => UserID : 31752 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : f2u5gz1tq4wgujezg0zty2tr ; 
2017-11-02 12:11:50 => UserID : 31752 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : f2u5gz1tq4wgujezg0zty2tr ; 
2017-11-02 12:12:09 => UserID : 38098 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : qgttwe5vaekkl4wbp5x1gggt ; 
2017-11-02 12:12:13 => UserID : 38098 ; Message : UserEnroll :: Login ; TrStatus : InValid login ; SessionId : qgttwe5vaekkl4wbp5x1gggt ; 
2017-11-02 12:12:13 => UserID : 38098 ; Message : UserEnroll :: Login ; TrStatus : Account not locked ; SessionId : qgttwe5vaekkl4wbp5x1gggt ; 
2017-11-02 12:12:49 => UserID : 38098 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : qgttwe5vaekkl4wbp5x1gggt ; 
2017-11-02 12:14:05 => UserID : 38098 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : qgttwe5vaekkl4wbp5x1gggt ; 
2017-11-02 12:14:08 => UserID : 38098 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : qgttwe5vaekkl4wbp5x1gggt ; 
